date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),PC (poll),Reform (poll)
2019-12-12,38.33,36.5,41.71,37.38,29.91,40.35,5.3,3.82,5.84,1.56,1.16,2.69,12.0,10.19,15.94,4.61,3.1,5.38,36.0,41.0,6.0,1.0,10.0,5.0
2019-12-13,38.49,36.57,41.74,37.09,29.97,40.23,5.23,3.8,5.82,1.62,1.18,2.8,12.14,10.22,15.81,4.59,3.12,5.41,,,,,,
2019-12-14,38.63,36.65,41.75,36.82,30.03,40.1,5.18,3.8,5.8,1.69,1.2,2.92,12.27,10.25,15.72,4.58,3.15,5.44,,,,,,
2019-12-15,38.77,36.73,41.75,36.56,30.08,39.95,5.12,3.82,5.76,1.75,1.22,3.03,12.39,10.27,15.72,4.58,3.17,5.46,,,,,,
2019-12-16,38.89,36.81,41.66,36.32,30.06,39.8,5.08,3.86,5.74,1.81,1.25,3.13,12.49,10.3,15.74,4.57,3.19,5.48,,,,,,
2019-12-17,39.0,36.88,41.66,36.09,30.03,39.65,5.03,3.85,5.72,1.87,1.27,3.22,12.59,10.32,15.77,4.56,3.22,5.5,,,,,,
2019-12-18,39.11,36.94,41.65,35.87,30.05,39.48,5.0,3.84,5.72,1.93,1.29,3.32,12.67,10.35,15.78,4.56,3.24,5.52,,,,,,
2019-12-19,39.2,37.01,41.64,35.66,30.06,39.3,4.97,3.83,5.71,1.99,1.31,3.4,12.75,10.37,15.79,4.56,3.28,5.54,,,,,,
2019-12-20,39.29,37.08,41.64,35.47,30.14,39.13,4.95,3.85,5.7,2.04,1.34,3.47,12.82,10.39,15.78,4.56,3.3,5.55,,,,,,
2019-12-21,39.37,37.13,41.63,35.28,30.07,38.95,4.93,3.85,5.72,2.09,1.37,3.5,12.88,10.42,15.78,4.56,3.33,5.56,,,,,,
2019-12-22,39.44,37.19,41.61,35.11,30.04,38.8,4.92,3.88,5.71,2.14,1.39,3.53,12.93,10.45,15.76,4.56,3.36,5.57,,,,,,
2019-12-23,39.51,37.29,41.59,34.94,30.09,38.64,4.91,3.84,5.74,2.19,1.42,3.56,12.98,10.51,15.77,4.56,3.4,5.58,,,,,,
2019-12-24,39.57,37.43,41.58,34.78,30.04,38.41,4.91,3.82,5.76,2.23,1.44,3.64,13.02,10.57,15.77,4.56,3.42,5.59,,,,,,
2019-12-25,39.62,37.49,41.58,34.63,29.98,38.28,4.91,3.85,5.77,2.27,1.46,3.7,13.06,10.62,15.77,4.57,3.44,5.59,,,,,,
2019-12-26,39.67,37.56,41.57,34.49,29.92,38.18,4.91,3.84,5.79,2.31,1.48,3.73,13.1,10.65,15.76,4.57,3.45,5.61,,,,,,
2019-12-27,39.72,37.62,41.58,34.36,29.86,38.08,4.92,3.82,5.84,2.35,1.49,3.76,13.13,10.68,15.82,4.57,3.47,5.63,,,,,,
2019-12-28,39.77,37.7,41.57,34.23,29.81,37.98,4.92,3.81,5.89,2.38,1.5,3.78,13.16,10.7,15.8,4.58,3.48,5.63,,,,,,
2019-12-29,39.81,37.78,41.56,34.11,29.76,37.87,4.93,3.81,5.92,2.41,1.51,3.8,13.18,10.73,15.73,4.58,3.52,5.64,,,,,,
2019-12-30,39.85,37.89,41.55,33.99,29.72,37.78,4.94,3.8,5.97,2.44,1.53,3.83,13.21,10.76,15.71,4.58,3.54,5.64,,,,,,
2019-12-31,39.88,37.98,41.55,33.88,29.65,37.73,4.95,3.79,6.01,2.47,1.54,3.86,13.23,10.8,15.69,4.59,3.54,5.64,,,,,,
2020-01-01,39.92,37.99,41.53,33.77,29.57,37.67,4.96,3.78,6.07,2.5,1.55,3.89,13.25,10.84,15.67,4.59,3.54,5.64,,,,,,
2020-01-02,39.95,38.02,41.51,33.67,29.48,37.6,4.97,3.77,6.12,2.52,1.56,3.92,13.27,10.89,15.61,4.59,3.54,5.65,,,,,,
2020-01-03,39.98,38.06,41.5,33.57,29.4,37.53,4.98,3.76,6.17,2.55,1.57,3.94,13.28,10.94,15.56,4.59,3.55,5.67,,,,,,
2020-01-04,40.01,38.1,41.48,33.48,29.34,37.46,4.99,3.75,6.22,2.57,1.58,3.97,13.3,10.96,15.52,4.6,3.56,5.69,,,,,,
2020-01-05,40.04,38.13,41.48,33.38,29.3,37.39,5.01,3.75,6.28,2.59,1.6,3.98,13.32,10.98,15.49,4.6,3.56,5.7,,,,,,
2020-01-06,40.07,38.17,41.48,33.29,29.27,37.33,5.02,3.75,6.32,2.62,1.61,4.0,13.33,11.0,15.46,4.6,3.56,5.72,,,,,,
2020-01-07,40.1,38.23,41.47,33.21,29.24,37.26,5.03,3.74,6.37,2.64,1.62,4.04,13.35,11.02,15.44,4.61,3.57,5.74,,,,,,
2020-01-08,40.13,38.29,41.47,33.12,29.21,37.2,5.04,3.73,6.41,2.66,1.64,4.11,13.36,11.04,15.47,4.61,3.58,5.75,,,,,,
2020-01-09,40.16,38.35,41.46,33.03,29.14,37.13,5.05,3.73,6.46,2.68,1.65,4.17,13.38,11.06,15.51,4.61,3.59,5.75,,,,,,
2020-01-10,40.18,38.41,41.46,32.95,29.01,37.07,5.07,3.72,6.5,2.69,1.65,4.18,13.39,11.08,15.54,4.61,3.6,5.76,,,,,,
2020-01-11,40.21,38.48,41.45,32.87,28.87,37.0,5.08,3.71,6.54,2.71,1.67,4.19,13.41,11.08,15.56,4.61,3.61,5.77,,,,,,
2020-01-12,40.24,38.52,41.45,32.79,28.8,36.94,5.09,3.71,6.57,2.73,1.68,4.19,13.43,11.07,15.57,4.61,3.61,5.76,,,,,,
2020-01-13,40.27,38.56,41.45,32.71,28.8,36.87,5.1,3.7,6.61,2.75,1.7,4.23,13.44,11.07,15.62,4.62,3.59,5.75,,,,,,
2020-01-14,40.29,38.61,41.45,32.63,28.8,36.81,5.11,3.69,6.64,2.76,1.71,4.28,13.46,11.06,15.62,4.62,3.59,5.74,,,,,,
2020-01-15,40.32,38.65,41.46,32.56,28.8,36.75,5.12,3.69,6.68,2.78,1.72,4.33,13.47,11.05,15.63,4.62,3.59,5.73,,,,,,
2020-01-16,40.35,38.69,41.48,32.48,28.82,36.69,5.13,3.68,6.71,2.8,1.74,4.38,13.49,11.07,15.64,4.62,3.6,5.73,,,,,,
2020-01-17,40.38,38.74,41.48,32.41,28.84,36.63,5.14,3.68,6.74,2.81,1.75,4.42,13.51,11.08,15.65,4.62,3.6,5.72,,,,,,
2020-01-18,40.4,38.78,41.47,32.33,28.76,36.57,5.14,3.68,6.76,2.83,1.76,4.45,13.52,11.1,15.68,4.62,3.6,5.71,,,,,,
2020-01-19,40.43,38.83,41.46,32.26,28.73,36.5,5.15,3.68,6.79,2.84,1.78,4.46,13.54,11.11,15.73,4.62,3.59,5.71,,,,,,
2020-01-20,40.46,38.88,41.49,32.19,28.69,36.46,5.16,3.67,6.81,2.86,1.79,4.46,13.56,11.1,15.78,4.62,3.55,5.7,,,,,,
2020-01-21,40.49,38.94,41.52,32.12,28.68,36.41,5.17,3.67,6.83,2.87,1.81,4.47,13.58,11.11,15.86,4.62,3.52,5.7,41.0,36.0,5.0,2.0,13.0,3.0
2020-01-22,40.51,38.98,41.53,32.05,28.67,36.34,5.17,3.67,6.85,2.88,1.82,4.49,13.6,11.11,15.86,4.62,3.48,5.69,,,,,,
2020-01-23,40.54,39.01,41.54,31.98,28.57,36.27,5.18,3.67,6.87,2.9,1.84,4.49,13.61,11.11,15.86,4.61,3.44,5.69,,,,,,
2020-01-24,40.57,39.01,41.55,31.92,28.46,36.19,5.18,3.67,6.89,2.91,1.85,4.49,13.63,11.12,15.88,4.61,3.4,5.68,,,,,,
2020-01-25,40.59,39.0,41.57,31.86,28.42,36.11,5.19,3.67,6.9,2.92,1.87,4.5,13.65,11.11,15.93,4.61,3.36,5.68,,,,,,
2020-01-26,40.62,39.03,41.59,31.8,28.27,36.05,5.19,3.67,6.92,2.93,1.89,4.5,13.67,11.12,15.99,4.61,3.32,5.69,42.0,29.5,4.0,2.0,16.5,5.0
2020-01-27,40.64,39.06,41.62,31.74,28.21,36.04,5.19,3.67,6.93,2.94,1.9,4.5,13.69,11.12,16.02,4.61,3.29,5.69,,,,,,
2020-01-28,40.67,39.08,41.64,31.68,28.16,36.02,5.19,3.66,6.95,2.95,1.91,4.5,13.7,11.13,16.09,4.61,3.25,5.68,,,,,,
2020-01-29,40.69,39.1,41.67,31.63,28.13,36.01,5.2,3.63,6.96,2.96,1.93,4.5,13.72,11.13,16.15,4.61,3.21,5.68,,,,,,
2020-01-30,40.71,39.1,41.7,31.59,28.08,35.99,5.2,3.6,6.97,2.97,1.94,4.51,13.73,11.12,16.22,4.61,3.17,5.68,,,,,,
2020-01-31,40.73,39.11,41.74,31.54,27.87,35.95,5.2,3.59,6.98,2.98,1.95,4.51,13.75,11.13,16.28,4.61,3.14,5.68,,,,,,
2020-02-01,40.74,39.12,41.76,31.5,27.68,35.92,5.2,3.58,6.99,2.98,1.96,4.51,13.76,11.13,16.33,4.61,3.11,5.68,,,,,,
2020-02-02,40.76,39.15,41.76,31.47,27.56,36.0,5.2,3.59,7.02,2.99,1.97,4.52,13.77,11.17,16.37,4.61,3.08,5.68,38.0,35.0,3.0,7.0,10.0,5.0
2020-02-03,40.77,39.16,41.82,31.44,27.4,36.0,5.2,3.58,7.03,3.0,1.98,4.52,13.77,11.17,16.4,4.61,3.06,5.68,,,,,,
2020-02-04,40.77,39.16,41.88,31.42,27.3,36.01,5.21,3.57,7.03,3.0,1.99,4.53,13.78,11.17,16.42,4.61,3.04,5.69,,,,,,
2020-02-05,40.78,39.16,41.93,31.4,27.27,36.01,5.21,3.56,7.04,3.01,1.99,4.54,13.78,11.17,16.43,4.61,3.04,5.68,,,,,,
2020-02-06,40.79,39.16,41.96,31.39,27.33,36.02,5.21,3.55,7.04,3.02,2.0,4.56,13.78,11.16,16.42,4.62,3.04,5.69,,,,,,
2020-02-07,40.79,39.23,41.99,31.38,27.47,36.02,5.2,3.55,7.04,3.02,2.0,4.58,13.77,11.16,16.4,4.62,3.06,5.69,,,,,,
2020-02-08,40.79,39.23,42.01,31.39,27.72,36.03,5.2,3.54,7.04,3.03,2.0,4.59,13.76,11.15,16.34,4.63,3.09,5.7,,,,,,
2020-02-09,40.8,39.23,42.02,31.4,27.95,36.04,5.2,3.53,7.04,3.03,2.0,4.6,13.74,11.15,16.25,4.64,3.12,5.71,,,,,,
2020-02-10,40.81,39.23,42.03,31.41,28.03,36.05,5.19,3.51,7.02,3.03,2.0,4.61,13.72,11.14,16.13,4.64,3.17,5.71,41.0,27.0,10.0,2.0,13.0,5.0
2020-02-11,40.83,39.23,42.03,31.44,28.05,36.06,5.18,3.52,7.02,3.04,2.0,4.61,13.69,11.13,16.07,4.65,3.23,5.72,,,,,,
2020-02-12,40.85,39.25,42.05,31.46,28.02,36.08,5.17,3.51,7.0,3.04,2.0,4.61,13.66,11.12,16.03,4.66,3.28,5.73,,,,,,
2020-02-13,40.88,39.27,42.06,31.5,28.01,36.11,5.16,3.5,6.96,3.04,2.0,4.62,13.62,11.11,15.93,4.66,3.34,5.74,,,,,,
2020-02-14,40.91,39.36,42.08,31.54,28.0,36.16,5.14,3.49,6.86,3.04,2.0,4.63,13.58,11.1,15.91,4.67,3.39,5.75,,,,,,
2020-02-15,40.95,39.44,42.11,31.58,27.98,36.23,5.12,3.46,6.83,3.04,2.0,4.64,13.53,11.09,15.8,4.68,3.43,5.72,,,,,,
2020-02-16,40.99,39.49,42.17,31.64,28.24,36.28,5.1,3.43,6.82,3.04,2.0,4.65,13.48,11.08,15.63,4.68,3.47,5.72,,,,,,
2020-02-17,41.04,39.57,42.31,31.69,28.42,36.31,5.08,3.31,6.8,3.03,2.0,4.66,13.42,11.07,15.45,4.69,3.5,5.73,,,,,,
2020-02-18,41.1,39.68,42.46,31.75,28.57,36.32,5.06,3.17,6.82,3.03,2.0,4.66,13.35,11.03,15.31,4.69,3.52,5.72,,,,,,
2020-02-19,41.16,39.72,42.57,31.82,28.79,36.33,5.03,3.11,6.81,3.03,2.0,4.67,13.28,10.96,15.27,4.7,3.58,5.72,,,,,,
2020-02-20,41.22,39.79,42.67,31.89,28.9,36.33,5.0,3.13,6.8,3.02,2.0,4.67,13.21,10.93,15.13,4.7,3.63,5.7,,,,,,
2020-02-21,41.29,39.85,42.81,31.97,29.01,36.35,4.97,3.15,6.81,3.02,2.0,4.58,13.14,10.85,14.97,4.7,3.64,5.69,,,,,,
2020-02-22,41.37,39.92,42.92,32.05,29.11,36.41,4.94,3.11,6.79,3.01,2.0,4.58,13.06,10.83,14.88,4.7,3.64,5.74,,,,,,
2020-02-23,41.45,39.99,43.04,32.14,29.4,36.47,4.91,3.05,6.66,3.0,2.0,4.57,12.98,10.82,14.82,4.69,3.65,5.73,,,,,,
2020-02-24,41.53,39.97,43.18,32.23,29.53,36.54,4.88,3.0,6.62,2.99,2.0,4.56,12.89,10.81,14.72,4.69,3.64,5.63,,,,,,
2020-02-25,41.61,40.02,43.3,32.33,29.56,36.55,4.84,2.94,6.57,2.98,2.0,4.55,12.8,10.76,14.6,4.68,3.65,5.6,,,,,,
2020-02-26,41.7,40.13,43.34,32.43,29.59,36.53,4.8,2.93,6.51,2.97,2.0,4.54,12.72,10.73,14.51,4.67,3.64,5.57,,,,,,
2020-02-27,41.79,40.15,43.41,32.54,29.63,36.58,4.76,2.84,6.46,2.96,2.0,4.53,12.62,10.68,14.4,4.66,3.6,5.58,,,,,,
2020-02-28,41.88,40.17,43.51,32.66,29.67,36.62,4.72,2.79,6.35,2.95,2.0,4.52,12.53,10.64,14.27,4.64,3.59,5.56,,,,,,
2020-02-29,41.97,40.25,43.57,32.79,29.73,36.66,4.68,2.74,6.31,2.93,2.0,4.49,12.43,10.6,14.13,4.62,3.59,5.55,,,,,,
2020-03-01,42.06,40.29,43.62,32.92,29.89,36.73,4.64,2.69,6.27,2.92,2.0,4.41,12.34,10.56,14.01,4.6,3.61,5.51,,,,,,
2020-03-02,42.16,40.33,43.66,33.06,30.08,36.81,4.59,2.64,6.2,2.9,2.0,4.33,12.24,10.53,13.92,4.58,3.61,5.48,,,,,,
2020-03-03,42.25,40.39,43.72,33.21,30.28,36.89,4.54,2.6,6.17,2.89,2.0,4.32,12.14,10.52,13.83,4.55,3.59,5.45,,,,,,
2020-03-04,42.34,40.46,43.76,33.36,30.5,36.98,4.5,2.58,6.11,2.87,2.0,4.34,12.04,10.48,13.7,4.52,3.56,5.44,,,,,,
2020-03-05,42.44,40.55,43.8,33.52,30.75,37.06,4.45,2.55,6.05,2.85,2.0,4.37,11.94,10.44,13.56,4.48,3.52,5.42,,,,,,
2020-03-06,42.53,40.64,43.87,33.69,31.04,37.12,4.4,2.52,6.0,2.83,2.0,4.36,11.84,10.44,13.42,4.45,3.46,5.42,,,,,,
2020-03-07,42.62,40.72,43.88,33.86,31.14,37.19,4.35,2.5,5.97,2.81,2.0,4.32,11.74,10.45,13.27,4.41,3.38,5.42,,,,,,
2020-03-08,42.71,40.72,43.95,34.03,31.31,37.26,4.3,2.47,5.91,2.79,2.0,4.28,11.64,10.44,13.08,4.37,3.32,5.42,,,,,,
2020-03-09,42.79,40.78,44.04,34.21,31.44,37.3,4.25,2.46,5.88,2.76,2.0,4.21,11.55,10.4,12.88,4.33,3.29,5.46,,,,,,
2020-03-10,42.88,40.86,44.07,34.39,31.57,37.35,4.19,2.42,5.85,2.74,2.0,4.12,11.46,10.36,12.7,4.28,3.24,5.48,,,,,,
2020-03-11,42.96,40.9,44.12,34.56,31.72,37.39,4.14,2.39,5.82,2.71,2.0,4.03,11.37,10.35,12.6,4.23,3.16,5.43,,,,,,
2020-03-12,43.04,41.0,44.18,34.74,31.99,37.5,4.09,2.36,5.71,2.68,2.0,3.94,11.29,10.28,12.45,4.18,3.11,5.44,,,,,,
2020-03-13,43.12,41.11,44.22,34.91,32.25,37.67,4.04,2.34,5.61,2.65,2.0,3.83,11.22,10.29,12.31,4.13,3.05,5.45,,,,,,
2020-03-14,43.2,41.22,44.27,35.08,32.53,37.67,4.0,2.32,5.58,2.62,2.0,3.75,11.15,10.25,12.2,4.08,2.96,5.46,,,,,,
2020-03-15,43.27,41.29,44.31,35.24,32.79,37.79,3.95,2.32,5.49,2.59,2.0,3.71,11.1,10.23,12.06,4.02,2.91,5.47,,,,,,
2020-03-16,43.34,41.38,44.37,35.39,33.05,37.9,3.9,2.35,5.44,2.56,2.0,3.66,11.05,10.16,11.96,3.97,2.85,5.47,,,,,,
2020-03-17,43.41,41.47,44.46,35.53,33.33,38.03,3.86,2.39,5.38,2.53,2.0,3.54,11.0,10.11,11.87,3.91,2.75,5.44,,,,,,
2020-03-18,43.47,41.53,44.55,35.66,33.65,38.27,3.82,2.39,5.3,2.49,2.0,3.4,10.97,10.08,11.81,3.86,2.63,5.39,,,,,,
2020-03-19,43.52,41.64,44.62,35.79,33.78,38.35,3.78,2.39,5.23,2.46,2.0,3.3,10.95,10.06,11.77,3.81,2.59,5.33,,,,,,
2020-03-20,43.58,41.76,44.67,35.9,33.88,38.36,3.75,2.39,5.14,2.43,2.0,3.2,10.93,10.04,11.74,3.76,2.58,5.27,,,,,,
2020-03-21,43.63,41.87,44.72,35.99,33.97,38.36,3.71,2.38,5.08,2.4,2.0,3.1,10.92,10.02,11.74,3.71,2.51,5.23,,,,,,
2020-03-22,43.67,41.9,44.76,36.08,34.08,38.4,3.68,2.4,5.01,2.38,2.0,3.01,10.92,10.01,11.73,3.66,2.48,5.2,,,,,,
2020-03-23,43.7,42.05,44.77,36.15,34.21,38.51,3.66,2.4,4.92,2.36,2.0,2.96,10.93,10.01,11.76,3.62,2.44,5.16,,,,,,
2020-03-24,43.74,42.14,44.77,36.21,34.29,38.55,3.63,2.38,4.82,2.35,2.01,2.84,10.94,10.03,11.8,3.58,2.38,5.11,,,,,,
2020-03-25,43.76,42.17,44.78,36.27,34.32,38.57,3.6,2.38,4.72,2.35,2.02,2.8,10.95,10.02,11.85,3.54,2.32,5.04,,,,,,
2020-03-26,43.78,42.24,44.84,36.31,34.31,38.58,3.58,2.39,4.66,2.35,2.03,2.78,10.97,10.0,11.89,3.5,2.3,4.99,,,,,,
2020-03-27,43.79,42.32,44.89,36.34,34.34,38.59,3.56,2.35,4.61,2.37,2.02,2.84,10.99,10.01,11.94,3.46,2.28,4.97,,,,,,
2020-03-28,43.8,42.37,44.93,36.37,34.36,38.6,3.54,2.36,4.59,2.39,2.01,2.96,11.0,10.02,11.99,3.42,2.26,4.94,,,,,,
2020-03-29,43.81,42.4,44.96,36.39,34.38,38.62,3.53,2.36,4.53,2.42,2.01,3.12,11.03,10.03,12.02,3.39,2.23,4.89,,,,,,
2020-03-30,43.8,42.39,44.98,36.41,34.4,38.59,3.51,2.37,4.49,2.46,2.0,3.28,11.05,10.05,12.04,3.35,2.21,4.83,,,,,,
2020-03-31,43.79,42.41,44.97,36.42,34.37,38.64,3.5,2.35,4.46,2.5,2.0,3.46,11.07,10.07,12.05,3.32,2.18,4.81,,,,,,
2020-04-01,43.77,42.43,44.94,36.43,34.34,38.7,3.49,2.31,4.4,2.55,2.0,3.63,11.1,10.08,12.09,3.29,2.18,4.79,,,,,,
2020-04-02,43.75,42.41,44.93,36.43,34.36,38.75,3.49,2.28,4.38,2.6,2.0,3.78,11.12,10.1,12.14,3.26,2.15,4.78,43.0,40.0,1.0,,9.0,7.0
2020-04-03,43.71,42.32,44.92,36.43,34.35,38.79,3.48,2.28,4.38,2.65,2.01,3.92,11.15,10.12,12.18,3.24,2.15,4.77,,,,,,
2020-04-04,43.67,42.27,44.88,36.44,34.35,38.77,3.49,2.3,4.38,2.71,2.02,4.05,11.17,10.17,12.23,3.21,2.15,4.76,,,,,,
2020-04-05,43.61,42.12,44.77,36.44,34.36,38.74,3.49,2.32,4.36,2.77,2.04,4.23,11.2,10.21,12.28,3.19,2.14,4.74,46.0,34.0,4.0,2.0,11.0,3.0
2020-04-06,43.54,42.0,44.7,36.45,34.37,38.7,3.5,2.34,4.35,2.83,2.07,4.35,11.23,10.23,12.32,3.17,2.15,4.73,,,,,,
2020-04-07,43.46,41.91,44.61,36.46,34.37,38.68,3.52,2.37,4.35,2.89,2.09,4.44,11.25,10.25,12.37,3.15,2.17,4.7,46.0,34.0,4.0,2.0,11.0,3.0
2020-04-08,43.37,41.82,44.54,36.47,34.38,38.7,3.53,2.4,4.35,2.96,2.13,4.53,11.28,10.29,12.43,3.13,2.16,4.62,,,,,,
2020-04-09,43.27,41.65,44.44,36.49,34.39,38.72,3.55,2.44,4.36,3.02,2.15,4.59,11.31,10.32,12.48,3.11,2.16,4.59,,,,,,
2020-04-10,43.16,41.5,44.32,36.51,34.44,38.76,3.57,2.48,4.37,3.08,2.16,4.68,11.34,10.34,12.49,3.09,2.14,4.51,,,,,,
2020-04-11,43.04,41.34,44.2,36.54,34.44,38.77,3.6,2.53,4.37,3.13,2.19,4.79,11.36,10.37,12.53,3.08,2.13,4.42,,,,,,
2020-04-12,42.92,41.14,44.09,36.57,34.5,38.81,3.62,2.57,4.38,3.19,2.21,4.9,11.39,10.4,12.57,3.06,2.12,4.33,,,,,,
2020-04-13,42.79,40.93,43.99,36.61,34.56,38.84,3.64,2.62,4.4,3.24,2.22,5.01,11.42,10.41,12.61,3.04,2.11,4.25,,,,,,
2020-04-14,42.66,40.74,43.89,36.65,34.6,38.88,3.67,2.63,4.42,3.29,2.23,5.11,11.44,10.45,12.66,3.03,2.11,4.17,,,,,,
2020-04-15,42.53,40.58,43.79,36.69,34.64,38.9,3.69,2.68,4.43,3.34,2.22,5.2,11.47,10.43,12.7,3.01,2.12,4.12,,,,,,
2020-04-16,42.39,40.36,43.7,36.73,34.71,38.93,3.72,2.73,4.44,3.39,2.25,5.27,11.49,10.45,12.72,3.0,2.13,4.09,,,,,,
2020-04-17,42.25,40.16,43.62,36.78,34.81,38.96,3.74,2.77,4.46,3.43,2.28,5.35,11.51,10.46,12.74,2.99,2.12,4.06,42.0,38.0,3.0,3.0,12.0,2.0
2020-04-18,42.12,39.99,43.53,36.82,34.84,39.0,3.77,2.79,4.47,3.47,2.3,5.35,11.54,10.48,12.77,2.98,2.11,4.03,,,,,,
2020-04-19,41.98,39.81,43.43,36.87,34.88,39.03,3.79,2.81,4.5,3.5,2.33,5.35,11.56,10.46,12.8,2.97,2.12,4.01,,,,,,
2020-04-20,41.84,39.6,43.4,36.92,34.93,39.03,3.82,2.84,4.54,3.54,2.35,5.38,11.58,10.49,12.83,2.96,2.12,3.98,,,,,,
2020-04-21,41.71,39.44,43.35,36.96,34.97,39.09,3.84,2.88,4.56,3.57,2.37,5.41,11.61,10.5,12.86,2.95,2.12,3.93,,,,,,
2020-04-22,41.58,39.34,43.27,37.01,35.01,39.13,3.87,2.93,4.57,3.59,2.39,5.44,11.63,10.53,12.89,2.94,2.14,3.92,,,,,,
2020-04-23,41.45,39.2,43.18,37.06,35.07,39.17,3.89,2.97,4.59,3.62,2.39,5.47,11.65,10.56,12.93,2.94,2.16,3.88,,,,,,
2020-04-24,41.32,39.05,43.09,37.1,35.13,39.22,3.91,3.01,4.6,3.64,2.38,5.48,11.67,10.58,12.97,2.93,2.18,3.85,41.0,41.0,4.0,,10.0,2.0
2020-04-25,41.19,38.92,43.01,37.14,35.19,39.26,3.94,3.07,4.61,3.67,2.39,5.47,11.69,10.59,13.01,2.93,2.19,3.81,,,,,,
2020-04-26,41.07,38.78,42.92,37.19,35.25,39.23,3.96,3.12,4.62,3.68,2.41,5.43,11.72,10.59,13.04,2.93,2.19,3.78,,,,,,
2020-04-27,40.95,38.62,42.82,37.23,35.3,39.22,3.98,3.15,4.63,3.7,2.42,5.44,11.74,10.57,13.08,2.93,2.19,3.75,,,,,,
2020-04-28,40.83,38.52,42.74,37.27,35.35,39.28,4.0,3.16,4.64,3.72,2.44,5.44,11.76,10.59,13.12,2.93,2.19,3.7,,,,,,
2020-04-29,40.72,38.4,42.67,37.3,35.4,39.33,4.03,3.21,4.65,3.73,2.45,5.42,11.78,10.59,13.16,2.92,2.2,3.67,,,,,,
2020-04-30,40.6,38.28,42.61,37.34,35.45,39.36,4.05,3.25,4.66,3.75,2.46,5.42,11.8,10.59,13.19,2.92,2.2,3.65,,,,,,
2020-05-01,40.49,38.17,42.58,37.38,35.47,39.36,4.07,3.27,4.67,3.76,2.46,5.44,11.82,10.58,13.23,2.92,2.19,3.64,,,,,,
2020-05-02,40.39,38.09,42.56,37.41,35.5,39.35,4.09,3.3,4.68,3.78,2.46,5.46,11.84,10.58,13.24,2.92,2.2,3.63,,,,,,
2020-05-03,40.28,38.02,42.52,37.44,35.54,39.4,4.11,3.31,4.7,3.79,2.46,5.49,11.87,10.58,13.25,2.92,2.22,3.65,,,,,,
2020-05-04,40.17,37.94,42.5,37.48,35.58,39.45,4.13,3.32,4.71,3.8,2.46,5.51,11.89,10.58,13.26,2.92,2.23,3.61,,,,,,
2020-05-05,40.07,37.86,42.41,37.51,35.62,39.49,4.15,3.35,4.72,3.81,2.46,5.53,11.91,10.59,13.29,2.93,2.25,3.58,,,,,,
2020-05-06,39.97,37.79,42.31,37.54,35.62,39.52,4.16,3.39,4.73,3.82,2.47,5.54,11.93,10.63,13.33,2.93,2.26,3.62,46.0,30.0,6.0,2.0,15.0,2.0
2020-05-07,39.86,37.73,42.22,37.57,35.62,39.49,4.18,3.42,4.73,3.84,2.47,5.56,11.96,10.64,13.35,2.93,2.25,3.64,,,,,,
2020-05-08,39.76,37.66,42.16,37.6,35.66,39.45,4.19,3.45,4.73,3.85,2.47,5.57,11.98,10.64,13.36,2.93,2.21,3.66,,,,,,
2020-05-09,39.66,37.6,42.09,37.62,35.7,39.47,4.21,3.46,4.73,3.86,2.47,5.58,12.01,10.65,13.37,2.93,2.2,3.68,,,,,,
2020-05-10,39.56,37.54,42.01,37.65,35.74,39.52,4.22,3.46,4.72,3.88,2.47,5.58,12.03,10.68,13.38,2.94,2.2,3.64,,,,,,
2020-05-11,39.46,37.48,41.92,37.68,35.74,39.57,4.24,3.47,4.74,3.89,2.48,5.64,12.06,10.68,13.41,2.94,2.2,3.63,,,,,,
2020-05-12,39.36,37.42,41.71,37.71,35.73,39.6,4.25,3.47,4.77,3.9,2.5,5.65,12.09,10.69,13.44,2.94,2.21,3.63,,,,,,
2020-05-13,39.26,37.35,41.65,37.73,35.74,39.63,4.26,3.47,4.8,3.92,2.51,5.64,12.11,10.71,13.47,2.95,2.19,3.62,,,,,,
2020-05-14,39.16,37.28,41.59,37.76,35.73,39.63,4.27,3.46,4.79,3.93,2.53,5.64,12.14,10.73,13.5,2.95,2.16,3.62,,,,,,
2020-05-15,39.06,37.22,41.54,37.78,35.72,39.64,4.28,3.46,4.82,3.95,2.54,5.69,12.17,10.75,13.55,2.96,2.14,3.63,,,,,,
2020-05-16,38.96,37.16,41.49,37.81,35.72,39.67,4.28,3.45,4.86,3.96,2.56,5.74,12.2,10.76,13.58,2.96,2.13,3.65,,,,,,
2020-05-17,38.87,37.08,41.39,37.84,35.79,39.74,4.29,3.44,4.89,3.98,2.58,5.77,12.23,10.78,13.6,2.96,2.12,3.67,,,,,,
2020-05-18,38.77,36.98,41.27,37.86,35.82,39.73,4.29,3.43,4.9,3.99,2.59,5.78,12.26,10.81,13.63,2.97,2.09,3.67,,,,,,
2020-05-19,38.68,36.87,41.15,37.89,35.79,39.72,4.3,3.42,4.92,4.01,2.61,5.79,12.29,10.82,13.69,2.98,2.07,3.71,39.0,34.0,2.0,11.0,13.0,1.0
