date,Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (post-2024 election),Ukip (post-2024 election) (low),Ukip (post-2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),PC (poll),Reform (poll)
2025-05-02,11.67,6.12,16.67,17.0,11.76,22.87,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,,,,13.0,8.01,18.02,5.0,23.0,8.0,,1.0,,7.0
2025-05-03,11.67,6.12,16.67,17.0,11.76,22.87,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,,,,13.0,8.01,18.02,,,,,,,
2025-05-04,11.67,6.12,16.67,17.0,11.76,22.87,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,,,,13.0,8.01,18.02,,,,,,,
2025-05-05,11.67,6.12,16.67,17.0,11.76,22.87,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,,,,13.0,8.01,18.02,,,,,,,
2025-05-06,11.67,6.12,16.67,17.0,11.76,22.87,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,,,,13.0,8.01,18.02,,,,,,,
2025-05-07,11.67,6.12,16.67,17.0,11.76,22.87,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,,,,13.0,8.01,18.02,,,,,,,
2025-05-08,11.67,6.12,16.67,17.0,11.76,22.87,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.0,8.01,18.02,15.0,14.0,2.0,,2.0,3.0,16.0
2025-05-09,11.67,6.12,16.67,17.0,11.76,22.87,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.0,8.01,18.02,,,,,,,
2025-05-10,11.67,6.12,16.67,17.0,11.76,22.87,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.0,8.02,18.02,,,,,,,
2025-05-11,11.67,6.12,16.67,17.0,11.76,22.87,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.0,8.02,18.02,,,,,,,
2025-05-12,11.67,6.12,16.67,17.0,11.76,22.87,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.0,8.02,18.02,,,,,,,
2025-05-13,11.67,6.13,16.67,17.0,11.76,22.86,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.0,8.02,18.02,,,,,,,
2025-05-14,11.67,6.13,16.67,16.99,11.75,22.86,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.01,8.02,18.02,,,,,,,
2025-05-15,11.67,6.13,16.67,16.99,11.75,22.86,4.0,-0.32,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.01,8.02,18.02,,,,,,,
2025-05-16,11.68,6.13,16.67,16.99,11.75,22.86,3.99,-0.33,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.01,8.02,18.02,,,,,,,
2025-05-17,11.68,6.13,16.67,16.99,11.75,22.86,3.99,-0.33,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.01,8.03,18.02,,,,,,,
2025-05-18,11.68,6.13,16.67,16.99,11.75,22.86,3.99,-0.33,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.01,8.03,18.02,,,,,,,
2025-05-19,11.68,6.13,16.67,16.99,11.74,22.86,3.99,-0.33,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.01,8.03,18.02,,,,,,,
2025-05-20,11.68,6.13,16.67,16.99,11.74,22.86,3.99,-0.33,8.53,,,,1.67,-2.04,5.41,3.0,-1.14,6.14,13.01,8.03,18.02,,,,,,,
2025-05-21,11.68,6.13,16.67,16.98,11.74,22.86,3.99,-0.33,8.53,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.02,8.04,18.02,,,,,,,
2025-05-22,11.69,6.13,16.67,16.98,11.74,22.86,3.99,-0.34,8.53,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.02,8.04,18.02,,,,,,,
2025-05-23,11.69,6.13,16.67,16.98,11.74,22.86,3.99,-0.34,8.53,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.02,8.04,18.02,,,,,,,
2025-05-24,11.69,6.13,16.67,16.98,11.74,22.86,3.98,-0.34,8.53,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.02,8.05,18.02,,,,,,,
2025-05-25,11.69,6.14,16.67,16.97,11.74,22.86,3.98,-0.34,8.52,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.03,8.05,18.02,,,,,,,
2025-05-26,11.7,6.14,16.67,16.97,11.73,22.86,3.98,-0.35,8.52,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.03,8.05,18.02,,,,,,,
2025-05-27,11.7,6.14,16.67,16.97,11.73,22.86,3.98,-0.35,8.52,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.03,8.06,18.02,,,,,,,
2025-05-28,11.7,6.14,16.67,16.97,11.73,22.85,3.98,-0.35,8.52,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.03,8.06,18.02,,,,,,,
2025-05-29,11.71,6.14,16.67,16.96,11.72,22.85,3.98,-0.36,8.52,,,,1.67,-2.04,5.43,3.0,-1.14,6.14,13.04,8.07,18.02,,,,,,,
2025-05-30,11.71,6.14,16.67,16.96,11.72,22.85,3.97,-0.36,8.52,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.04,8.07,18.02,,,,,,,
2025-05-31,11.71,6.14,16.67,16.96,11.72,22.85,3.97,-0.36,8.52,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.04,8.07,18.02,,,,,,,
2025-06-01,11.72,6.13,16.67,16.95,11.72,22.85,3.97,-0.37,8.52,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.05,8.08,18.02,,,,,,,
2025-06-02,11.72,6.14,16.67,16.95,11.72,22.84,3.97,-0.37,8.51,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.05,8.08,18.02,,,,,,,
2025-06-03,11.73,6.14,16.67,16.95,11.72,22.84,3.96,-0.38,8.51,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.05,8.09,18.02,,,,,,,
2025-06-04,11.73,6.14,16.67,16.94,11.72,22.83,3.96,-0.38,8.5,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.06,8.1,18.02,,,,,,,
2025-06-05,11.73,6.14,16.67,16.94,11.71,22.83,3.96,-0.39,8.5,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.06,8.1,18.02,,,,,,,
2025-06-06,11.74,6.14,16.67,16.93,11.71,22.82,3.96,-0.39,8.5,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.07,8.09,18.02,,,,,,,
2025-06-07,11.74,6.14,16.67,16.93,11.71,22.82,3.95,-0.39,8.5,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.07,8.09,18.02,,,,,,,
2025-06-08,11.75,6.14,16.67,16.93,11.71,22.81,3.95,-0.4,8.5,,,,1.67,-2.04,5.42,3.0,-1.14,6.14,13.07,8.09,18.02,,,,,,,
2025-06-09,11.75,6.14,16.67,16.92,11.71,22.8,3.95,-0.4,8.5,,,,1.68,-2.04,5.42,3.0,-1.14,6.14,13.08,8.09,18.02,,,,,,,
2025-06-10,11.76,6.14,16.67,16.92,11.71,22.8,3.94,-0.41,8.49,,,,1.68,-2.04,5.42,3.0,-1.14,6.14,13.08,8.09,18.02,,,,,,,
2025-06-11,11.76,6.14,16.67,16.91,11.71,22.79,3.94,-0.42,8.49,,,,1.68,-2.04,5.42,3.0,-1.14,6.14,13.09,8.09,18.02,,,,,,,
2025-06-12,11.77,6.14,16.67,16.91,11.71,22.78,3.94,-0.42,8.49,,,,1.68,-2.04,5.42,3.0,-1.14,6.14,13.09,8.08,18.02,,,,,,,
2025-06-13,11.78,6.14,16.67,16.9,11.71,22.77,3.93,-0.43,8.49,,,,1.68,-2.04,5.41,3.0,-1.14,6.14,13.1,8.08,18.02,,,,,,,
2025-06-14,11.78,6.15,16.67,16.9,11.71,22.77,3.93,-0.43,8.49,,,,1.68,-2.04,5.41,3.0,-1.14,6.14,13.1,8.08,18.02,,,,,,,
2025-06-15,11.79,6.15,16.67,16.89,11.71,22.76,3.93,-0.44,8.49,,,,1.68,-2.04,5.41,3.0,-1.14,6.14,13.11,8.08,18.02,,,,,,,
2025-06-16,11.79,6.14,16.67,16.89,11.71,22.75,3.92,-0.45,8.48,,,,1.68,-2.04,5.41,3.0,-1.14,6.14,13.11,8.08,18.02,,,,,,,
2025-06-17,11.8,6.14,16.67,16.88,11.71,22.74,3.92,-0.45,8.48,,,,1.68,-2.04,5.41,3.0,-1.14,6.14,13.12,8.08,18.02,,,,,,,
2025-06-18,11.81,6.15,16.67,16.87,11.71,22.73,3.92,-0.45,8.48,,,,1.68,-2.04,5.41,3.0,-1.14,6.14,13.13,8.07,18.02,,,,,,,
2025-06-19,11.81,6.15,16.67,16.87,11.71,22.72,3.91,-0.45,8.48,,,,1.68,-2.04,5.41,3.0,-1.14,6.14,13.13,8.07,18.02,,,,,,,
2025-06-20,11.82,6.16,16.67,16.86,11.71,22.72,3.91,-0.45,8.47,,,,1.68,-2.04,5.41,3.0,-1.14,6.14,13.14,8.07,18.02,,,,,,,
2025-06-21,11.83,6.16,16.67,16.85,11.71,22.71,3.9,-0.45,8.47,,,,1.68,-2.04,5.41,3.0,-1.14,6.14,13.15,8.07,18.02,,,,,,,
2025-06-22,11.84,6.17,16.67,16.85,11.71,22.7,3.9,-0.46,8.47,,,,1.68,-2.04,5.41,3.0,-1.14,6.14,13.15,8.06,18.02,,,,,,,
2025-06-23,11.84,6.18,16.67,16.84,11.71,22.68,3.89,-0.46,8.47,,,,1.68,-2.04,5.4,3.0,-1.14,6.14,13.16,8.06,18.02,,,,,,,
2025-06-24,11.85,6.2,16.67,16.83,11.71,22.68,3.89,-0.46,8.46,,,,1.69,-2.04,5.4,3.0,-1.14,6.14,13.17,8.06,18.02,,,,,,,
2025-06-25,11.86,6.2,16.67,16.83,11.71,22.66,3.88,-0.46,8.46,,,,1.69,-2.03,5.4,3.0,-1.14,6.14,13.17,8.06,18.02,,,,,,,
2025-06-26,11.87,6.22,16.67,16.82,11.71,22.65,3.88,-0.46,8.45,,,,1.69,-2.03,5.4,3.0,-1.14,6.14,13.18,8.06,18.02,,,,,,,
2025-06-27,11.88,6.23,16.67,16.81,11.71,22.63,3.87,-0.46,8.44,,,,1.69,-2.03,5.39,3.0,-1.14,6.14,13.19,8.05,18.02,,,,,,,
2025-06-28,11.89,6.23,16.67,16.8,11.71,22.62,3.87,-0.47,8.43,,,,1.69,-2.03,5.39,3.0,-1.14,6.14,13.2,8.06,18.02,,,,,,,
2025-06-29,11.9,6.25,16.67,16.79,11.71,22.6,3.86,-0.47,8.41,,,,1.69,-2.03,5.39,3.0,-1.14,6.14,13.21,8.06,18.02,,,,,,,
2025-06-30,11.9,6.26,16.67,16.79,11.71,22.58,3.86,-0.48,8.4,,,,1.69,-2.03,5.39,3.0,-1.14,6.14,13.21,8.05,18.02,,,,,,,
2025-07-01,11.91,6.27,16.67,16.78,11.71,22.57,3.85,-0.5,8.39,,,,1.69,-2.03,5.39,3.0,-1.14,6.14,13.22,8.05,18.02,,,,,,,
2025-07-02,11.93,6.29,16.67,16.77,11.71,22.55,3.84,-0.52,8.38,,,,1.69,-2.03,5.39,3.0,-1.14,6.14,13.23,8.05,18.02,,,,,,,
2025-07-03,11.94,6.3,16.69,16.76,11.71,22.53,3.84,-0.54,8.37,,,,1.69,-2.03,5.39,3.0,-1.14,6.14,13.24,8.04,18.02,,,,,,,
2025-07-04,11.95,6.32,16.71,16.75,11.71,22.51,3.83,-0.55,8.35,,,,1.69,-2.03,5.38,3.0,-1.14,6.14,13.25,8.04,18.02,,,,,,,
2025-07-05,11.96,6.33,16.72,16.74,11.71,22.49,3.83,-0.57,8.34,,,,1.7,-2.03,5.38,3.0,-1.14,6.14,13.26,8.04,18.02,,,,,,,
2025-07-06,11.97,6.33,16.74,16.73,11.71,22.47,3.82,-0.6,8.33,,,,1.7,-2.03,5.38,3.0,-1.14,6.14,13.27,8.04,18.02,,,,,,,
2025-07-07,11.98,6.34,16.76,16.72,11.71,22.46,3.81,-0.62,8.32,,,,1.7,-2.03,5.38,3.0,-1.14,6.14,13.28,8.04,18.02,,,,,,,
2025-07-08,11.99,6.34,16.78,16.71,11.71,22.45,3.8,-0.63,8.31,,,,1.7,-2.03,5.38,3.0,-1.14,6.14,13.29,8.04,18.02,,,,,,,
2025-07-09,12.01,6.34,16.79,16.69,11.71,22.44,3.8,-0.64,8.29,,,,1.7,-2.03,5.37,3.0,-1.14,6.14,13.31,8.03,18.02,,,,,,,
2025-07-10,12.02,6.35,16.82,16.68,11.71,22.42,3.79,-0.64,8.28,,,,1.7,-2.03,5.37,3.0,-1.14,6.14,13.32,8.03,18.02,,,,,,,
2025-07-11,12.03,6.35,16.83,16.67,11.71,22.4,3.78,-0.64,8.26,,,,1.7,-2.03,5.37,3.0,-1.14,6.14,13.33,8.05,18.02,,,,,,,
2025-07-12,12.05,6.34,16.86,16.66,11.71,22.39,3.77,-0.65,8.24,,,,1.7,-2.03,5.37,3.0,-1.14,6.14,13.34,8.08,18.02,,,,,,,
2025-07-13,12.06,6.36,16.88,16.64,11.71,22.37,3.76,-0.65,8.22,,,,1.71,-2.03,5.37,3.0,-1.14,6.14,13.36,8.11,18.02,,,,,,,
2025-07-14,12.08,6.37,16.91,16.63,11.71,22.35,3.75,-0.66,8.21,,,,1.71,-2.03,5.36,3.0,-1.14,6.14,13.37,8.13,18.02,,,,,,,
2025-07-15,12.09,6.38,16.93,16.62,11.71,22.33,3.74,-0.66,8.19,,,,1.71,-2.03,5.36,3.0,-1.14,6.14,13.38,8.13,18.02,,,,,,,
2025-07-16,12.11,6.39,16.95,16.6,11.71,22.31,3.73,-0.67,8.17,,,,1.71,-2.02,5.36,3.0,-1.14,6.14,13.4,8.13,18.02,,,,,,,
2025-07-17,12.13,6.4,16.98,16.59,11.71,22.29,3.72,-0.68,8.17,,,,1.71,-2.02,5.36,3.0,-1.14,6.14,13.41,8.13,18.02,,,,,,,
2025-07-18,12.14,6.41,17.0,16.57,11.71,22.28,3.71,-0.68,8.17,,,,1.71,-2.02,5.35,3.0,-1.14,6.14,13.43,8.13,18.02,,,,,,,
2025-07-19,12.16,6.43,17.01,16.55,11.71,22.27,3.7,-0.69,8.17,,,,1.72,-2.02,5.35,3.0,-1.14,6.14,13.45,8.13,18.02,,,,,,,
2025-07-20,12.18,6.45,17.01,16.54,11.71,22.26,3.69,-0.69,8.16,,,,1.72,-2.02,5.34,3.0,-1.14,6.14,13.46,8.13,18.02,,,,,,,
2025-07-21,12.2,6.5,17.01,16.52,11.71,22.23,3.68,-0.7,8.16,,,,1.72,-2.02,5.34,3.0,-1.14,6.14,13.48,8.13,18.02,,,,,,,
2025-07-22,12.22,6.55,17.01,16.5,11.71,22.2,3.67,-0.7,8.16,,,,1.72,-2.02,5.34,3.0,-1.14,6.14,13.5,8.13,18.02,,,,,,,
2025-07-23,12.24,6.6,17.01,16.48,11.71,22.17,3.65,-0.71,8.15,,,,1.72,-2.02,5.33,3.0,-1.14,6.14,13.52,8.13,18.02,,,,,,,
2025-07-24,12.27,6.64,17.01,16.46,11.71,22.15,3.64,-0.71,8.15,,,,1.73,-2.02,5.33,3.0,-1.14,6.14,13.54,8.13,18.02,,,,,,,
2025-07-25,12.29,6.7,17.01,16.44,11.71,22.13,3.63,-0.72,8.15,,,,1.73,-2.02,5.33,3.0,-1.14,6.14,13.56,8.13,18.02,,,,,,,
2025-07-26,12.32,6.74,17.01,16.42,11.71,22.11,3.61,-0.73,8.14,,,,1.73,-2.02,5.33,3.0,-1.14,6.14,13.58,8.13,18.02,,,,,,,
2025-07-27,12.34,6.77,17.01,16.39,11.71,22.09,3.59,-0.73,8.14,,,,1.73,-2.02,5.33,3.0,-1.14,6.14,13.61,8.13,18.02,,,,,,,
2025-07-28,12.37,6.79,17.01,16.37,11.71,22.06,3.58,-0.74,8.13,,,,1.74,-2.02,5.33,3.0,-1.14,6.14,13.63,8.13,18.02,,,,,,,
2025-07-29,12.4,6.8,17.01,16.34,11.71,22.04,3.56,-0.76,8.13,,,,1.74,-2.01,5.33,3.0,-1.14,6.14,13.66,8.13,18.02,,,,,,,
2025-07-30,12.43,6.82,17.01,16.32,11.71,22.01,3.54,-0.76,8.12,,,,1.74,-2.01,5.33,3.0,-1.14,6.14,13.68,8.13,18.04,,,,,,,
2025-07-31,12.46,6.83,17.01,16.29,11.71,21.98,3.52,-0.76,8.12,,,,1.75,-2.01,5.33,3.0,-1.14,6.14,13.71,8.13,18.06,,,,,,,
2025-08-01,12.49,6.84,17.01,16.26,11.71,21.95,3.5,-0.77,8.1,,,,1.75,-2.01,5.33,3.0,-1.14,6.14,13.74,8.13,18.09,,,,,,,
2025-08-02,12.53,6.89,17.01,16.23,11.71,21.92,3.48,-0.78,8.1,,,,1.75,-2.01,5.33,3.0,-1.14,6.14,13.77,8.13,18.1,,,,,,,
2025-08-03,12.56,6.94,17.01,16.19,11.71,21.88,3.46,-0.79,8.09,,,,1.76,-2.01,5.33,3.0,-1.14,6.14,13.81,8.13,18.12,,,,,,,
2025-08-04,12.6,6.98,17.01,16.16,11.65,21.85,3.44,-0.8,8.04,,,,1.76,-2.01,5.33,3.0,-1.14,6.14,13.84,8.12,18.18,,,,,,,
2025-08-05,12.64,6.99,17.01,16.12,11.63,21.81,3.41,-0.81,7.98,,,,1.76,-2.0,5.33,3.0,-1.14,6.14,13.88,8.12,18.22,,,,,,,
2025-08-06,12.69,7.0,17.02,16.08,11.61,21.76,3.39,-0.82,7.97,,,,1.77,-2.0,5.32,3.0,-1.14,6.14,13.92,8.13,18.27,,,,,,,
2025-08-07,12.73,7.0,17.08,16.04,11.6,21.71,3.36,-0.83,7.99,,,,1.77,-2.0,5.32,3.0,-1.14,6.14,13.96,8.13,18.34,,,,,,,
2025-08-08,12.78,7.01,17.13,15.99,11.58,21.66,3.33,-0.84,8.0,,,,1.78,-2.0,5.32,3.0,-1.14,6.14,14.01,8.13,18.43,,,,,,,
2025-08-09,12.84,7.02,17.17,15.95,11.58,21.61,3.3,-0.91,8.01,,,,1.78,-2.0,5.32,3.0,-1.14,6.14,14.05,8.13,18.45,,,,,,,
2025-08-10,12.89,7.02,17.2,15.9,11.56,21.57,3.26,-1.04,8.02,,,,1.79,-1.99,5.32,3.0,-1.14,6.14,14.1,8.13,18.45,,,,,,,
2025-08-11,12.95,7.04,17.22,15.84,11.54,21.57,3.23,-1.06,8.02,,,,1.8,-1.99,5.32,3.0,-1.14,6.14,14.16,8.13,18.49,,,,,,,
2025-08-12,13.02,7.05,17.23,15.78,11.5,21.57,3.19,-1.06,8.0,,,,1.8,-1.98,5.32,3.0,-1.14,6.14,14.22,8.13,18.55,,,,,,,
2025-08-13,13.09,7.06,17.25,15.72,11.48,21.56,3.15,-1.11,7.99,,,,1.81,-1.98,5.32,3.0,-1.14,6.14,14.28,8.14,18.61,,,,,,,
2025-08-14,13.16,7.07,17.27,15.65,11.45,21.56,3.1,-1.22,7.99,,,,1.82,-1.98,5.35,3.0,-1.14,6.14,14.35,8.19,18.66,,,,,,,
2025-08-15,13.24,7.08,17.29,15.58,11.42,21.56,3.05,-1.24,8.03,,,,1.82,-1.97,5.39,3.0,-1.14,6.14,14.42,8.31,18.73,,,,,,,
2025-08-16,13.33,7.1,17.29,15.5,11.38,21.55,3.0,-1.25,8.08,,,,1.83,-1.97,5.43,3.0,-1.14,6.14,14.5,8.47,18.91,,,,,,,
2025-08-17,13.42,7.11,17.29,15.42,11.34,21.55,2.95,-1.26,8.14,,,,1.84,-1.96,5.47,3.0,-1.14,6.14,14.58,8.64,18.94,,,,,,,
2025-08-18,13.52,7.14,17.29,15.33,11.3,21.49,2.89,-1.27,8.18,,,,1.85,-1.96,5.5,3.0,-1.14,6.14,14.67,8.83,18.95,,,,,,,
2025-08-19,13.63,7.17,17.29,15.23,11.25,21.43,2.82,-1.27,8.21,,,,1.86,-1.95,5.55,3.0,-1.14,6.14,14.77,8.89,19.04,,,,,,,
2025-08-20,13.75,7.19,17.38,15.12,11.17,21.35,2.75,-1.27,8.25,,,,1.88,-2.02,5.6,3.0,-1.14,6.14,14.88,8.9,19.13,,,,,,,
2025-08-21,13.88,7.23,17.51,15.01,11.09,21.14,2.67,-1.46,8.32,,,,1.89,-2.05,5.65,3.0,-1.14,6.14,14.99,8.9,19.3,,,,,,,
2025-08-22,14.02,7.27,17.65,14.88,10.82,21.14,2.59,-1.79,8.39,,,,1.9,-2.04,5.71,3.0,-1.14,6.14,15.12,8.91,19.38,,,,,,,
2025-08-23,14.17,7.32,17.78,14.75,10.62,21.1,2.5,-1.81,8.47,,,,1.92,-2.04,5.77,3.0,-1.14,6.14,15.25,8.91,19.5,,,,,,,
2025-08-24,14.32,7.36,17.99,14.61,10.59,20.82,2.41,-1.89,8.55,,,,1.93,-2.04,5.83,3.0,-1.14,6.14,15.39,8.92,20.11,,,,,,,
2025-08-25,14.48,7.35,18.04,14.47,10.34,20.49,2.31,-2.28,8.62,,,,1.95,-2.04,5.89,3.0,-1.14,6.14,15.53,8.99,20.99,,,,,,,
2025-08-26,14.64,7.36,18.07,14.32,10.03,20.45,2.22,-2.7,8.7,,,,1.96,-2.04,5.95,3.0,-1.14,6.14,15.68,9.11,21.29,,,,,,,
2025-08-27,14.79,7.36,18.31,14.19,9.71,20.41,2.13,-3.0,8.7,,,,1.98,-2.05,6.01,3.0,-1.14,6.14,15.81,9.27,21.35,,,,,,,
2025-08-28,14.91,7.35,18.73,14.08,9.61,20.37,2.05,-3.01,8.74,,,,1.99,-2.09,6.06,3.0,-1.14,6.14,15.92,9.43,21.4,,,,,,,
2025-08-29,14.98,7.36,18.94,14.02,9.15,20.35,2.01,-3.01,8.85,,,,2.0,-2.12,6.08,3.0,-1.14,6.14,15.98,9.55,21.4,,,,,,,
2025-08-30,15.0,9.79,19.07,14.0,8.79,18.07,2.0,-3.06,7.51,,,,2.0,-2.04,6.34,3.0,-1.14,6.14,16.0,10.94,21.51,,,,,,,
2025-08-31,15.0,10.77,18.64,14.0,9.77,17.64,2.0,-1.92,6.11,,,,2.0,-1.35,5.62,3.0,-1.14,6.14,16.0,12.08,20.11,,,,,,,
2025-09-01,15.0,10.77,18.64,14.0,9.77,17.64,2.0,-1.92,6.11,,,,2.0,-1.35,5.62,3.0,-1.14,6.14,16.0,12.08,20.11,,,,,,,
2025-09-02,15.0,10.77,18.64,14.0,9.77,17.64,2.0,-1.92,6.11,,,,2.0,-1.35,5.62,3.0,-1.14,6.14,16.0,12.08,20.11,,,,,,,
2025-09-03,15.0,10.77,18.64,14.0,9.77,17.64,2.0,-1.92,6.11,,,,2.0,-1.35,5.62,3.0,-1.14,6.14,16.0,12.08,20.11,,,,,,,
2025-09-04,15.0,10.77,18.64,14.0,9.77,17.64,2.0,-1.92,6.11,,,,2.0,-1.35,5.62,3.0,-1.14,6.14,16.0,12.08,20.11,,,,,,,
2026-01-29,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-01-30,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-01-31,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-01,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-02,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-03,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-04,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-05,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-06,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-07,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-08,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-09,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-10,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-11,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-12,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-13,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-14,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-15,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-16,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-17,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-18,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-19,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-20,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-21,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-22,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
2026-02-23,13.0,8.93,16.8,7.0,2.93,10.8,,,,,,,3.0,-2.21,7.13,12.0,8.14,16.02,17.0,12.45,20.96,,,,,,,
